Setting in design.json,Setting in MakeHuman,Comment,Example
,armslegs/l-lowerarm-muscle-decr|incr,"-1 .. 1, default 0",
lowerarm_skinny_fat,armslegs/r-lowerarm-fat-decr|incr,"-1 .. 1, default 0",
lowerarm_thickness_1,armslegs/l-lowerarm-scale-depth-decr|incr,"-1 .. 1, default 0",
,armslegs/r-lowerarm-scale-depth-decr|incr,"-1 .. 1, default 0",
lowerarm_thickness_2,armslegs/l-lowerarm-scale-vert-decr|incr,"-1 .. 1, default 0",
,armslegs/r-lowerarm-scale-vert-decr|incr,"-1 .. 1, default 0",
lowerleg_height,measure/measure-lowerleg-height-decr|incr,"-1 .. 1, default 0",
lowerleg_muscle,armslegs/r-lowerleg-muscle-decr|incr,"-1 .. 1, default 0",
,armslegs/l-lowerleg-muscle-decr|incr,"-1 .. 1, default 0",
lowerleg_scale_depth,armslegs/r-lowerleg-scale-depth-decr|incr,"-1 .. 1, default 0",
,armslegs/l-lowerleg-scale-depth-decr|incr,"-1 .. 1, default 0",
lowerleg_scale_horizontally,armslegs/r-lowerleg-scale-horiz-decr|incr,"-1 .. 1, default 0",
,armslegs/l-lowerleg-scale-horiz-decr|incr,"-1 .. 1, default 0",
lowerleg_skinny_fat,armslegs/r-lowerleg-fat-decr|incr,"-1 .. 1, default 0",
,armslegs/l-lowerleg-fat-decr|incr,"-1 .. 1, default 0",
lowerlegs_height,armslegs/lowerlegs-height-decr|incr,"-1 .. 1, default 0",
lowerlip_curved_shape,mouth/mouth-lowerlip-ext-down|up,"-1 .. 1, default 0",
move_base_vert,nose/nose-base-down|up,"-1 .. 1, default 0",
move_corners_vert,mouth/mouth-angles-down|up,"-1 .. 1, default 0",
move_depth,head/head-trans-backward|forward,"-1 .. 1, default 0",
,nose/nose-trans-backward|forward,"-1 .. 1, default 0",
,neck/neck-trans-backward|forward,"-1 .. 1, default 0",
,hip/hip-trans-backward|forward,"-1 .. 1, default 0",
,ears/r-ear-trans-backward|forward,"-1 .. 1, default 0",
,ears/l-ear-trans-backward|forward,"-1 .. 1, default 0",
,armslegs/l-foot-trans-backward|forward,"-1 .. 1, default 0",
